"text","user","url","lat","lon"
"my travel","danno_80","https://ppcdn.500px.org/95503699/7cf68738631dba1d1b946b3e0a90ab21264c238f/3.jpg?v=11","27.74613857589044","-15.585136413574219"
"Another shot from a shipwreck at the coast of Cape Agulhas in South Africa.","AndreasKunz1","https://ppcdn.500px.org/95503635/39614c9852eadb4c5dd63a75a764eb7df3a5e6c8/3.jpg?v=10","-34.829728","19.984637"
".","LesterLiQuenz","https://ppcdn.500px.org/95503397/6f83a981e9224a8fe9f2e3c2e36e8fd3c3c1612e/3.jpg?v=11","14.264383087562662","-89.89837646484375"
"two, girls, sexy couple, portrait, sexy girls","Sergey_Shishlov","https://ppcdn.500px.org/95503329/aded22caba345397c96bb1d90b2187a4a7d96609/3.jpg?v=13","51.7406361640977","36.18613243103027"
"First time in my life I actually see a similar phenomena. Pretty cool.","ClaudioCiceri","https://ppcdn.500px.org/95503189/26325ad41583747850a5e338a53766ad20cfa8be/3.jpg?v=7","45.78380604900099","9.133586883544922"
"Fiat 500","SarigiannidisTheodore","https://ppcdn.500px.org/95502973/38a6d6797843b84d372c9b076b3715b09b12ad39/3.jpg?v=6","39.36827914916014","1.40625"
"Wonderfully preserved houses in a quaint little Cotswolds village. Bibury, United Kingdoms.","pengshi","https://ppcdn.500px.org/95503571/027373b0ea8938f2cc268a5d6bdca396ae9d0f46/3.jpg?v=5","51.75960611464015","-1.8339657783508299"
"A winters day at Oxwich Bay on the Gower, South Wales.

Really pleased with the sky in this image, capturing the dramatic look of the clouds.","nattyjj81","https://ppcdn.500px.org/95503193/f636bdae7cb31f4a1cf334a36ce5e0756bb140b3/3.jpg?v=7","51.5563687272672","-4.160932302474976"
"One of the best views of Manhattan is from 30 Rockefeller Plaza, an Art Deco skyscraper in the middle of Rockefeller Plaza. At 850 feet (260 m) high, the 70-story building is the 14th tallest in New York City and is a great place for capturing views at sunset (especially because it offers views of the Empire State Building).","Cybjorg","https://ppcdn.500px.org/95502657/945daee7a7ba5035ef488e97fb174f6443b4e25d/3.jpg?v=15","40.759151410977545","-73.97963762283325"
"Winter morning at Hlￃﾭￃﾰarvatn, Reykjanes, Iceland

#Travel with http://www.islandsmyndir.is in Iceland all year round:  
© 2014 Photos available at http://www.IceStockPhotos.com","rafnsig","https://ppcdn.500px.org/95502553/fd7ade12aa0103aebccdf4cdacd5bcbe3c7ffe70/3.jpg?v=1","63.851945","21.716112"
"Turkey
Sivas
Shore lark / Eremophila alpestris","vedatesen","https://ppcdn.500px.org/95502529/ca7b329f9e6587fd98f15b6cad8aae46358e8c01/3.jpg?v=19","39.80853604144591","37.672119140625"
"Sightseeing","RezaVahdati","https://ppcdn.500px.org/95502525/a23736d5e0daf2f375fc14516a7bcc498b44aeef/3.jpg?v=9","55.68874090401621","12.579345703125"
".","prudenbt","https://ppcdn.500px.org/95502395/33aa615e8f535313106f3c7b45795fdfd443fbe1/3.jpg?v=6","43.253580027685906","-2.9514169692993164"
"water drops","NaniCro","https://ppcdn.500px.org/95502327/919814f66254417f5a6cc25063f82fd709826f43/3.jpg?v=10","45.79095832835967","15.948468446731567"
"lens 50 mm + converter....","majidos-173","https://ppcdn.500px.org/95502159/fd1df1e3d0069ac2416989a89e1989e551e4e540/3.jpg?v=9","32.00811237568555","-4.4457793375477195"
"A small red squirrel snacking","JustinRPhoto","https://ppcdn.500px.org/95502153/e729a5f26a67c8b12116bf533e5f62aaf3d72ca4/3.jpg?v=6","43.853407371391874","-78.89590680599213"
"Sympetrum","EmmanuelGraindepice","https://ppcdn.500px.org/95502127/a84babea2df9f360c1cc6221cdc3d8ee80f46ebc/3.jpg?v=9","50.227661227152076","3.280963897705078"
"Mar de Nubes

Sea of Clouds","davidmazn","https://ppcdn.500px.org/95502105/f21d2f650bed122ad5557c98be03b419d5fe1ee1/3.jpg?v=13","43.315885989098405","-3.640319807454943"
